ID	ID_merged	date	siteID	elevation_m_asl	blockID	warming	individual_nr	species	trait	value	merged	flag
DJP4848	DJP4848	2022-07-27	Gudmedalen	1213	Gud_1	C	2	Achillea millefolium	d13c	-29.648	NA	NA
DMR2654	DMR2654	2022-07-27	Gudmedalen	1213	Gud_1	C	5	Achillea millefolium	c_percent	43.6	NA	NA
DMR2654	DMR2654	2022-07-27	Gudmedalen	1213	Gud_1	C	5	Achillea millefolium	n_percent	2.41	NA	NA
DMR2654	DMR2654	2022-07-27	Gudmedalen	1213	Gud_1	C	5	Achillea millefolium	c_n	18.09128630705394	NA	NA
DMR2654	DMR2654	2022-07-27	Gudmedalen	1213	Gud_1	C	5	Achillea millefolium	d15n	-2.0010000000000003	NA	NA
DMR2654	DMR2654	2022-07-27	Gudmedalen	1213	Gud_1	C	5	Achillea millefolium	d13c	-29.165000000000003	NA	NA
DJL6352	DJL6352	2022-07-27	Gudmedalen	1213	Gud_1	C	3	Achillea millefolium	c_percent	44.27	NA	NA
DJL6352	DJL6352	2022-07-27	Gudmedalen	1213	Gud_1	C	3	Achillea millefolium	n_percent	2.01	NA	NA
DJL6352	DJL6352	2022-07-27	Gudmedalen	1213	Gud_1	C	3	Achillea millefolium	c_n	22.02487562189055	NA	NA
DJL6352	DJL6352	2022-07-27	Gudmedalen	1213	Gud_1	C	3	Achillea millefolium	d15n	-4.561999999999999	NA	NA
DJL6352	DJL6352	2022-07-27	Gudmedalen	1213	Gud_1	C	3	Achillea millefolium	d13c	-30.507	NA	NA
DHN3414	DHN3414	2022-07-27	Gudmedalen	1213	Gud_1	C	4	Alchemilla alpina	c_percent	44.83	NA	NA
DHN3414	DHN3414	2022-07-27	Gudmedalen	1213	Gud_1	C	4	Alchemilla alpina	n_percent	1.44	NA	NA
DHN3414	DHN3414	2022-07-27	Gudmedalen	1213	Gud_1	C	4	Alchemilla alpina	c_n	31.131944444444443	NA	NA
DHN3414	DHN3414	2022-07-27	Gudmedalen	1213	Gud_1	C	4	Alchemilla alpina	d15n	-0.64	NA	NA
DHN3414	DHN3414	2022-07-27	Gudmedalen	1213	Gud_1	C	4	Alchemilla alpina	d13c	-27.737000000000002	NA	NA
EDT8931	EDT8931	2022-07-27	Gudmedalen	1213	Gud_1	C	6	Alchemilla alpina	c_percent	45.1	NA	NA
EDT8931	EDT8931	2022-07-27	Gudmedalen	1213	Gud_1	C	6	Alchemilla alpina	n_percent	1.49	NA	NA
EDT8931	EDT8931	2022-07-27	Gudmedalen	1213	Gud_1	C	6	Alchemilla alpina	c_n	30.268456375838927	NA	NA
EDT8931	EDT8931	2022-07-27	Gudmedalen	1213	Gud_1	C	6	Alchemilla alpina	d15n	-0.008000000000000007	NA	NA
EDT8931	EDT8931	2022-07-27	Gudmedalen	1213	Gud_1	C	6	Alchemilla alpina	d13c	-27.466	NA	NA
DMK3395	DMK3395	2022-07-27	Gudmedalen	1213	Gud_1	C	5	Alchemilla alpina	c_percent	45.07	NA	NA
DMK3395	DMK3395	2022-07-27	Gudmedalen	1213	Gud_1	C	5	Alchemilla alpina	n_percent	1.68	NA	NA
DMK3395	DMK3395	2022-07-27	Gudmedalen	1213	Gud_1	C	5	Alchemilla alpina	c_n	26.827380952380953	NA	NA
DMK3395	DMK3395	2022-07-27	Gudmedalen	1213	Gud_1	C	5	Alchemilla alpina	d15n	-1.735	NA	NA
DMK3395	DMK3395	2022-07-27	Gudmedalen	1213	Gud_1	C	5	Alchemilla alpina	d13c	-27.855	NA	NA
DIU6152	DIU6152	2022-07-27	Gudmedalen	1213	Gud_1	C	2	Alchemilla alpina	c_percent	45.93	NA	NA
DIU6152	DIU6152	2022-07-27	Gudmedalen	1213	Gud_1	C	2	Alchemilla alpina	n_percent	1.36	NA	NA
DIU6152	DIU6152	2022-07-27	Gudmedalen	1213	Gud_1	C	2	Alchemilla alpina	c_n	33.772058823529406	NA	NA
DIU6152	DIU6152	2022-07-27	Gudmedalen	1213	Gud_1	C	2	Alchemilla alpina	d15n	-0.3450000000000001	NA	NA
DIU6152	DIU6152	2022-07-27	Gudmedalen	1213	Gud_1	C	2	Alchemilla alpina	d13c	-27.832	NA	NA
DSR5280	DSR5280	2022-07-27	Gudmedalen	1213	Gud_1	C	7	Bistorta vivipara	c_percent	43.57	NA	NA
DSR5280	DSR5280	2022-07-27	Gudmedalen	1213	Gud_1	C	7	Bistorta vivipara	n_percent	2.52	NA	NA
DSR5280	DSR5280	2022-07-27	Gudmedalen	1213	Gud_1	C	7	Bistorta vivipara	c_n	17.28968253968254	NA	NA
DSR5280	DSR5280	2022-07-27	Gudmedalen	1213	Gud_1	C	7	Bistorta vivipara	d15n	-0.9590000000000001	NA	NA
DSR5280	DSR5280	2022-07-27	Gudmedalen	1213	Gud_1	C	7	Bistorta vivipara	d13c	-28.707	NA	NA
DNG3128	DNG3128_EBC7406	2022-07-27	Gudmedalen	1213	Gud_1	C	3	Carex bigelowii	c_percent	42.26	NA	NA
EBC7406	DNG3128_EBC7406	2022-07-27	Gudmedalen	1213	Gud_1	C	1	Carex bigelowii	c_percent	42.26	NA	NA
DNG3128	DNG3128_EBC7406	2022-07-27	Gudmedalen	1213	Gud_1	C	3	Carex bigelowii	n_percent	1.59	NA	NA
EBC7406	DNG3128_EBC7406	2022-07-27	Gudmedalen	1213	Gud_1	C	1	Carex bigelowii	n_percent	1.59	NA	NA
DNG3128	DNG3128_EBC7406	2022-07-27	Gudmedalen	1213	Gud_1	C	3	Carex bigelowii	c_n	26.578616352201255	NA	NA
EBC7406	DNG3128_EBC7406	2022-07-27	Gudmedalen	1213	Gud_1	C	1	Carex bigelowii	c_n	26.578616352201255	NA	NA
DNG3128	DNG3128_EBC7406	2022-07-27	Gudmedalen	1213	Gud_1	C	3	Carex bigelowii	d15n	3.7520000000000002	NA	NA
EBC7406	DNG3128_EBC7406	2022-07-27	Gudmedalen	1213	Gud_1	C	1	Carex bigelowii	d15n	3.7520000000000002	NA	NA
DNG3128	DNG3128_EBC7406	2022-07-27	Gudmedalen	1213	Gud_1	C	3	Carex bigelowii	d13c	-29.255	NA	NA
EBC7406	DNG3128_EBC7406	2022-07-27	Gudmedalen	1213	Gud_1	C	1	Carex bigelowii	d13c	-29.255	NA	NA
DLF9268	DLF9268	2022-07-27	Gudmedalen	1213	Gud_1	C	6	Carex vaginata	c_percent	44.64	NA	NA
DLF9268	DLF9268	2022-07-27	Gudmedalen	1213	Gud_1	C	6	Carex vaginata	n_percent	2	NA	NA
DLF9268	DLF9268	2022-07-27	Gudmedalen	1213	Gud_1	C	6	Carex vaginata	c_n	22.32	NA	NA
DLF9268	DLF9268	2022-07-27	Gudmedalen	1213	Gud_1	C	6	Carex vaginata	d15n	2.5580000000000003	NA	NA
DLF9268	DLF9268	2022-07-27	Gudmedalen	1213	Gud_1	C	6	Carex vaginata	d13c	-28.308	NA	NA
EJF0038	EJF0038	2022-07-27	Gudmedalen	1213	Gud_1	C	5	Carex vaginata	c_percent	47.97	NA	NA
EJF0038	EJF0038	2022-07-27	Gudmedalen	1213	Gud_1	C	5	Carex vaginata	n_percent	2.72	NA	NA
EJF0038	EJF0038	2022-07-27	Gudmedalen	1213	Gud_1	C	5	Carex vaginata	c_n	17.636029411764703	NA	NA
EJF0038	EJF0038	2022-07-27	Gudmedalen	1213	Gud_1	C	5	Carex vaginata	d15n	3.785	NA	NA
EJF0038	EJF0038	2022-07-27	Gudmedalen	1213	Gud_1	C	5	Carex vaginata	d13c	-29.556	NA	NA
DKV7728	DKV7728	2022-07-27	Gudmedalen	1213	Gud_1	W	2	Geranium sylvaticum	c_percent	44.15	NA	NA
DKV7728	DKV7728	2022-07-27	Gudmedalen	1213	Gud_1	W	2	Geranium sylvaticum	n_percent	1.71	NA	NA
DKV7728	DKV7728	2022-07-27	Gudmedalen	1213	Gud_1	W	2	Geranium sylvaticum	c_n	25.818713450292396	NA	NA
DKV7728	DKV7728	2022-07-27	Gudmedalen	1213	Gud_1	W	2	Geranium sylvaticum	d15n	-3.595	NA	NA
DKV7728	DKV7728	2022-07-27	Gudmedalen	1213	Gud_1	W	2	Geranium sylvaticum	d13c	-27.608	NA	NA
DKZ3562	DKZ3562	2022-07-27	Gudmedalen	1213	Gud_1	W	3	Geranium sylvaticum	c_percent	47.18	NA	NA
DKZ3562	DKZ3562	2022-07-27	Gudmedalen	1213	Gud_1	W	3	Geranium sylvaticum	n_percent	1.79	NA	NA
DKZ3562	DKZ3562	2022-07-27	Gudmedalen	1213	Gud_1	W	3	Geranium sylvaticum	c_n	26.35754189944134	NA	NA
DKZ3562	DKZ3562	2022-07-27	Gudmedalen	1213	Gud_1	W	3	Geranium sylvaticum	d15n	-1.082	NA	NA
DKZ3562	DKZ3562	2022-07-27	Gudmedalen	1213	Gud_1	W	3	Geranium sylvaticum	d13c	-26.312	NA	NA
DLX6663	DLX6663_DLT9027_DLP7533	2022-07-27	Gudmedalen	1213	Gud_1	W	3	Nardus stricta	c_percent	44.09	NA	NA
DLT9027	DLX6663_DLT9027_DLP7533	2022-07-27	Gudmedalen	1213	Gud_1	W	2	Nardus stricta	c_percent	44.09	NA	NA
DLP7533	DLX6663_DLT9027_DLP7533	2022-07-27	Gudmedalen	1213	Gud_1	W	1	Nardus stricta	c_percent	44.09	NA	NA
DLX6663	DLX6663_DLT9027_DLP7533	2022-07-27	Gudmedalen	1213	Gud_1	W	3	Nardus stricta	n_percent	1.66	NA	NA
DLT9027	DLX6663_DLT9027_DLP7533	2022-07-27	Gudmedalen	1213	Gud_1	W	2	Nardus stricta	n_percent	1.66	NA	NA
DLP7533	DLX6663_DLT9027_DLP7533	2022-07-27	Gudmedalen	1213	Gud_1	W	1	Nardus stricta	n_percent	1.66	NA	NA
DLX6663	DLX6663_DLT9027_DLP7533	2022-07-27	Gudmedalen	1213	Gud_1	W	3	Nardus stricta	c_n	26.560240963855424	NA	NA
DLT9027	DLX6663_DLT9027_DLP7533	2022-07-27	Gudmedalen	1213	Gud_1	W	2	Nardus stricta	c_n	26.560240963855424	NA	NA
DLP7533	DLX6663_DLT9027_DLP7533	2022-07-27	Gudmedalen	1213	Gud_1	W	1	Nardus stricta	c_n	26.560240963855424	NA	NA
DLX6663	DLX6663_DLT9027_DLP7533	2022-07-27	Gudmedalen	1213	Gud_1	W	3	Nardus stricta	d15n	-1.01	NA	NA
DLT9027	DLX6663_DLT9027_DLP7533	2022-07-27	Gudmedalen	1213	Gud_1	W	2	Nardus stricta	d15n	-1.01	NA	NA
DLP7533	DLX6663_DLT9027_DLP7533	2022-07-27	Gudmedalen	1213	Gud_1	W	1	Nardus stricta	d15n	-1.01	NA	NA
DLX6663	DLX6663_DLT9027_DLP7533	2022-07-27	Gudmedalen	1213	Gud_1	W	3	Nardus stricta	d13c	-27.442	NA	NA
DLT9027	DLX6663_DLT9027_DLP7533	2022-07-27	Gudmedalen	1213	Gud_1	W	2	Nardus stricta	d13c	-27.442	NA	NA
DLP7533	DLX6663_DLT9027_DLP7533	2022-07-27	Gudmedalen	1213	Gud_1	W	1	Nardus stricta	d13c	-27.442	NA	NA
BZO3771	BZO3771	2022-07-27	Gudmedalen	1213	Gud_1	W	2	Astragalus alpinus	c_percent	44.68	NA	NA
BZO3771	BZO3771	2022-07-27	Gudmedalen	1213	Gud_1	W	2	Astragalus alpinus	n_percent	3.71	NA	NA
BZO3771	BZO3771	2022-07-27	Gudmedalen	1213	Gud_1	W	2	Astragalus alpinus	c_n	12.04312668463612	NA	NA
BZO3771	BZO3771	2022-07-27	Gudmedalen	1213	Gud_1	W	2	Astragalus alpinus	d15n	-1.52	NA	NA
BZO3771	BZO3771	2022-07-27	Gudmedalen	1213	Gud_1	W	2	Astragalus alpinus	d13c	-30.451999999999998	NA	NA
DIO1473	DIO1473	2022-07-27	Gudmedalen	1213	Gud_1	C	2	Carex vaginata	c_percent	45.49	NA	NA
DIO1473	DIO1473	2022-07-27	Gudmedalen	1213	Gud_1	C	2	Carex vaginata	n_percent	1.94	NA	NA
DIO1473	DIO1473	2022-07-27	Gudmedalen	1213	Gud_1	C	2	Carex vaginata	c_n	23.448453608247423	NA	NA
DIO1473	DIO1473	2022-07-27	Gudmedalen	1213	Gud_1	C	2	Carex vaginata	d15n	4.5249999999999995	NA	NA
DIO1473	DIO1473	2022-07-27	Gudmedalen	1213	Gud_1	C	2	Carex vaginata	d13c	-28.941	NA	NA
DIM3163	DIM3163_DIL0238	2022-07-27	Gudmedalen	1213	Gud_1	C	2	Thalictrum alpinum	c_percent	42.54	NA	NA
DIL0238	DIM3163_DIL0238	2022-07-27	Gudmedalen	1213	Gud_1	C	1	Thalictrum alpinum	c_percent	42.54	NA	NA
DIM3163	DIM3163_DIL0238	2022-07-27	Gudmedalen	1213	Gud_1	C	2	Thalictrum alpinum	n_percent	1.84	NA	NA
DIL0238	DIM3163_DIL0238	2022-07-27	Gudmedalen	1213	Gud_1	C	1	Thalictrum alpinum	n_percent	1.84	NA	NA
DIM3163	DIM3163_DIL0238	2022-07-27	Gudmedalen	1213	Gud_1	C	2	Thalictrum alpinum	c_n	23.119565217391305	NA	NA
DIL0238	DIM3163_DIL0238	2022-07-27	Gudmedalen	1213	Gud_1	C	1	Thalictrum alpinum	c_n	23.119565217391305	NA	NA
DIM3163	DIM3163_DIL0238	2022-07-27	Gudmedalen	1213	Gud_1	C	2	Thalictrum alpinum	d15n	-3.669	NA	NA
DIL0238	DIM3163_DIL0238	2022-07-27	Gudmedalen	1213	Gud_1	C	1	Thalictrum alpinum	d15n	-3.669	NA	NA
DIM3163	DIM3163_DIL0238	2022-07-27	Gudmedalen	1213	Gud_1	C	2	Thalictrum alpinum	d13c	-30.444	NA	NA
DIL0238	DIM3163_DIL0238	2022-07-27	Gudmedalen	1213	Gud_1	C	1	Thalictrum alpinum	d13c	-30.444	NA	NA
EJZ0499	EJZ0499	2022-07-27	Gudmedalen	1213	Gud_1	W	3	Bistorta vivipara	c_percent	47.34	NA	NA
EJZ0499	EJZ0499	2022-07-27	Gudmedalen	1213	Gud_1	W	3	Bistorta vivipara	n_percent	1.71	NA	NA
EJZ0499	EJZ0499	2022-07-27	Gudmedalen	1213	Gud_1	W	3	Bistorta vivipara	c_n	27.68421052631579	NA	NA
EJZ0499	EJZ0499	2022-07-27	Gudmedalen	1213	Gud_1	W	3	Bistorta vivipara	d15n	-4.069	NA	NA
EJZ0499	EJZ0499	2022-07-27	Gudmedalen	1213	Gud_1	W	3	Bistorta vivipara	d13c	-27.822	NA	NA
DSC4388	DSC4388_DML5984	2022-07-27	Gudmedalen	1213	Gud_1	C	4	Thalictrum alpinum	c_percent	42.19	NA	NA
DML5984	DSC4388_DML5984	2022-07-27	Gudmedalen	1213	Gud_1	C	3	Thalictrum alpinum	c_percent	42.19	NA	NA
DSC4388	DSC4388_DML5984	2022-07-27	Gudmedalen	1213	Gud_1	C	4	Thalictrum alpinum	n_percent	1.59	NA	NA
DML5984	DSC4388_DML5984	2022-07-27	Gudmedalen	1213	Gud_1	C	3	Thalictrum alpinum	n_percent	1.59	NA	NA
DSC4388	DSC4388_DML5984	2022-07-27	Gudmedalen	1213	Gud_1	C	4	Thalictrum alpinum	c_n	26.534591194968552	NA	NA
DML5984	DSC4388_DML5984	2022-07-27	Gudmedalen	1213	Gud_1	C	3	Thalictrum alpinum	c_n	26.534591194968552	NA	NA
DSC4388	DSC4388_DML5984	2022-07-27	Gudmedalen	1213	Gud_1	C	4	Thalictrum alpinum	d15n	-3.4339999999999997	NA	NA
DML5984	DSC4388_DML5984	2022-07-27	Gudmedalen	1213	Gud_1	C	3	Thalictrum alpinum	d15n	-3.4339999999999997	NA	NA
DSC4388	DSC4388_DML5984	2022-07-27	Gudmedalen	1213	Gud_1	C	4	Thalictrum alpinum	d13c	-31.022	NA	NA
DML5984	DSC4388_DML5984	2022-07-27	Gudmedalen	1213	Gud_1	C	3	Thalictrum alpinum	d13c	-31.022	NA	NA
DPV2188	DPV2188	2022-07-30	Skjelingahaugen	1088	Skj_2	C	3	Alchemilla sp	c_percent	46.29	NA	NA
DPV2188	DPV2188	2022-07-30	Skjelingahaugen	1088	Skj_2	C	3	Alchemilla sp	n_percent	2.36	NA	NA
DPV2188	DPV2188	2022-07-30	Skjelingahaugen	1088	Skj_2	C	3	Alchemilla sp	c_n	19.614406779661017	NA	NA
DPV2188	DPV2188	2022-07-30	Skjelingahaugen	1088	Skj_2	C	3	Alchemilla sp	d15n	-2.7439999999999998	NA	NA
DPV2188	DPV2188	2022-07-30	Skjelingahaugen	1088	Skj_2	C	3	Alchemilla sp	d13c	-27.875	NA	NA
EGI7170	EGI7170	2022-07-27	Gudmedalen	1213	Gud_1	C	2	Geranium sylvaticum	c_percent	46.28	NA	NA
EGI7170	EGI7170	2022-07-27	Gudmedalen	1213	Gud_1	C	2	Geranium sylvaticum	n_percent	2.75	NA	NA
EGI7170	EGI7170	2022-07-27	Gudmedalen	1213	Gud_1	C	2	Geranium sylvaticum	c_n	16.829090909090908	NA	NA
EGI7170	EGI7170	2022-07-27	Gudmedalen	1213	Gud_1	C	2	Geranium sylvaticum	d15n	-1.3980000000000001	NA	NA
EGI7170	EGI7170	2022-07-27	Gudmedalen	1213	Gud_1	C	2	Geranium sylvaticum	d13c	-27.794	NA	NA
DWJ1146	DWJ1146_DIN8243	2022-07-27	Gudmedalen	1213	Gud_1	C	4	Carex vaginata	c_percent	45.21	NA	NA
DIN8243	DWJ1146_DIN8243	2022-07-27	Gudmedalen	1213	Gud_1	C	3	Carex vaginata	c_percent	45.21	NA	NA
DWJ1146	DWJ1146_DIN8243	2022-07-27	Gudmedalen	1213	Gud_1	C	4	Carex vaginata	n_percent	2.22	NA	NA
DIN8243	DWJ1146_DIN8243	2022-07-27	Gudmedalen	1213	Gud_1	C	3	Carex vaginata	n_percent	2.22	NA	NA
DWJ1146	DWJ1146_DIN8243	2022-07-27	Gudmedalen	1213	Gud_1	C	4	Carex vaginata	c_n	20.364864864864863	NA	NA
DIN8243	DWJ1146_DIN8243	2022-07-27	Gudmedalen	1213	Gud_1	C	3	Carex vaginata	c_n	20.364864864864863	NA	NA
DWJ1146	DWJ1146_DIN8243	2022-07-27	Gudmedalen	1213	Gud_1	C	4	Carex vaginata	d15n	3.71	NA	NA
DIN8243	DWJ1146_DIN8243	2022-07-27	Gudmedalen	1213	Gud_1	C	3	Carex vaginata	d15n	3.71	NA	NA
DWJ1146	DWJ1146_DIN8243	2022-07-27	Gudmedalen	1213	Gud_1	C	4	Carex vaginata	d13c	-28.879	NA	NA
DIN8243	DWJ1146_DIN8243	2022-07-27	Gudmedalen	1213	Gud_1	C	3	Carex vaginata	d13c	-28.879	NA	NA
DYQ6200	DYQ6200	2022-07-27	Gudmedalen	1213	Gud_1	C	3	Salix herbacea	c_percent	48.97	NA	NA
DYQ6200	DYQ6200	2022-07-27	Gudmedalen	1213	Gud_1	C	3	Salix herbacea	n_percent	2.88	NA	NA
DYQ6200	DYQ6200	2022-07-27	Gudmedalen	1213	Gud_1	C	3	Salix herbacea	c_n	17.00347222222222	NA	NA
DYQ6200	DYQ6200	2022-07-27	Gudmedalen	1213	Gud_1	C	3	Salix herbacea	d15n	-0.14399999999999996	NA	NA
DYQ6200	DYQ6200	2022-07-27	Gudmedalen	1213	Gud_1	C	3	Salix herbacea	d13c	-29.808	NA	NA
DVQ3484	DVQ3484_DVP2145	2022-07-27	Gudmedalen	1213	Gud_1	C	1	Salix herbacea	c_percent	48.81	NA	NA
DVP2145	DVQ3484_DVP2145	2022-07-27	Gudmedalen	1213	Gud_1	C	2	Salix herbacea	c_percent	48.81	NA	NA
DVQ3484	DVQ3484_DVP2145	2022-07-27	Gudmedalen	1213	Gud_1	C	1	Salix herbacea	n_percent	2.7	NA	NA
DVP2145	DVQ3484_DVP2145	2022-07-27	Gudmedalen	1213	Gud_1	C	2	Salix herbacea	n_percent	2.7	NA	NA
DVQ3484	DVQ3484_DVP2145	2022-07-27	Gudmedalen	1213	Gud_1	C	1	Salix herbacea	c_n	18.077777777777776	NA	NA
DVP2145	DVQ3484_DVP2145	2022-07-27	Gudmedalen	1213	Gud_1	C	2	Salix herbacea	c_n	18.077777777777776	NA	NA
DVQ3484	DVQ3484_DVP2145	2022-07-27	Gudmedalen	1213	Gud_1	C	1	Salix herbacea	d15n	-1.25	NA	NA
DVP2145	DVQ3484_DVP2145	2022-07-27	Gudmedalen	1213	Gud_1	C	2	Salix herbacea	d15n	-1.25	NA	NA
DVQ3484	DVQ3484_DVP2145	2022-07-27	Gudmedalen	1213	Gud_1	C	1	Salix herbacea	d13c	-28.919999999999998	NA	NA
DVP2145	DVQ3484_DVP2145	2022-07-27	Gudmedalen	1213	Gud_1	C	2	Salix herbacea	d13c	-28.919999999999998	NA	NA
DLP7533	DLP7533	2022-07-27	Gudmedalen	1213	Gud_1	W	1	Nardus stricta	c_percent	43.59	NA	NA
DLP7533	DLP7533	2022-07-27	Gudmedalen	1213	Gud_1	W	1	Nardus stricta	n_percent	1.58	NA	NA
DLP7533	DLP7533	2022-07-27	Gudmedalen	1213	Gud_1	W	1	Nardus stricta	c_n	27.58860759493671	NA	NA
DLP7533	DLP7533	2022-07-27	Gudmedalen	1213	Gud_1	W	1	Nardus stricta	d15n	-0.871	NA	NA
DLP7533	DLP7533	2022-07-27	Gudmedalen	1213	Gud_1	W	1	Nardus stricta	d13c	-27.558	NA	NA
BYY6182	BYY6182	2022-07-27	Gudmedalen	1213	Gud_1	W	3	Thalictrum alpinum	c_percent	42.75	NA	NA
BYY6182	BYY6182	2022-07-27	Gudmedalen	1213	Gud_1	W	3	Thalictrum alpinum	n_percent	1.8	NA	NA
BYY6182	BYY6182	2022-07-27	Gudmedalen	1213	Gud_1	W	3	Thalictrum alpinum	c_n	23.75	NA	NA
BYY6182	BYY6182	2022-07-27	Gudmedalen	1213	Gud_1	W	3	Thalictrum alpinum	d15n	-1.016	NA	NA
BYY6182	BYY6182	2022-07-27	Gudmedalen	1213	Gud_1	W	3	Thalictrum alpinum	d13c	-30.646	NA	NA
BYQ6921	BYQ6921	2022-07-27	Gudmedalen	1213	Gud_1	W	2	Carex bigelowii	c_percent	45.88	NA	NA
BYQ6921	BYQ6921	2022-07-27	Gudmedalen	1213	Gud_1	W	2	Carex bigelowii	n_percent	2.65	NA	NA
BYQ6921	BYQ6921	2022-07-27	Gudmedalen	1213	Gud_1	W	2	Carex bigelowii	c_n	17.313207547169814	NA	NA
BYQ6921	BYQ6921	2022-07-27	Gudmedalen	1213	Gud_1	W	2	Carex bigelowii	d15n	4.6690000000000005	NA	NA
BYQ6921	BYQ6921	2022-07-27	Gudmedalen	1213	Gud_1	W	2	Carex bigelowii	d13c	-30.126	NA	NA
DLD9287	DLD9287	2022-07-27	Gudmedalen	1213	Gud_1	W	1	Geranium sylvaticum	c_percent	42.97	NA	NA
DLD9287	DLD9287	2022-07-27	Gudmedalen	1213	Gud_1	W	1	Geranium sylvaticum	n_percent	1.54	NA	NA
DLD9287	DLD9287	2022-07-27	Gudmedalen	1213	Gud_1	W	1	Geranium sylvaticum	c_n	27.9025974025974	NA	NA
DLD9287	DLD9287	2022-07-27	Gudmedalen	1213	Gud_1	W	1	Geranium sylvaticum	d15n	-2.833	NA	NA
DLD9287	DLD9287	2022-07-27	Gudmedalen	1213	Gud_1	W	1	Geranium sylvaticum	d13c	-26.769000000000002	NA	NA
EJK3511	EJK3511	2022-07-27	Gudmedalen	1213	Gud_1	C	3	Geranium sylvaticum	c_percent	43.94	NA	NA
EJK3511	EJK3511	2022-07-27	Gudmedalen	1213	Gud_1	C	3	Geranium sylvaticum	n_percent	2.07	NA	NA
EJK3511	EJK3511	2022-07-27	Gudmedalen	1213	Gud_1	C	3	Geranium sylvaticum	c_n	21.22705314009662	NA	NA
EJK3511	EJK3511	2022-07-27	Gudmedalen	1213	Gud_1	C	3	Geranium sylvaticum	d15n	-1.797	NA	NA
EJK3511	EJK3511	2022-07-27	Gudmedalen	1213	Gud_1	C	3	Geranium sylvaticum	d13c	-27.868	NA	NA
EGB6037	EGB6037	2022-07-27	Gudmedalen	1213	Gud_1	C	1	Geranium sylvaticum	c_percent	43.75	NA	NA
EGB6037	EGB6037	2022-07-27	Gudmedalen	1213	Gud_1	C	1	Geranium sylvaticum	n_percent	1.75	NA	NA
EGB6037	EGB6037	2022-07-27	Gudmedalen	1213	Gud_1	C	1	Geranium sylvaticum	c_n	25	NA	NA
EGB6037	EGB6037	2022-07-27	Gudmedalen	1213	Gud_1	C	1	Geranium sylvaticum	d15n	-2.914	NA	NA
EGB6037	EGB6037	2022-07-27	Gudmedalen	1213	Gud_1	C	1	Geranium sylvaticum	d13c	-27.774	NA	NA
BZG9928	BZG9928_DLH6245	2022-07-27	Gudmedalen	1213	Gud_1	W	2	Leontodon autumnalis	c_percent	42.01	NA	NA
DLH6245	BZG9928_DLH6245	2022-07-27	Gudmedalen	1213	Gud_1	W	1	Leontodon autumnalis	c_percent	42.01	NA	NA
BZG9928	BZG9928_DLH6245	2022-07-27	Gudmedalen	1213	Gud_1	W	2	Leontodon autumnalis	n_percent	2.41	NA	NA
